step,train_loss,refusal_rate,alpaca_val_loss
100,5.0374861883209086,0.83,1.3785629101345578
200,5.024270577542484,0.89,1.3690875414888566
300,4.8292838032357395,0.88,1.3662557485063804
400,4.8220908716786655,0.83,1.366815004710589
500,4.976925576911308,0.88,1.3641680010860968
600,4.9651469091977924,0.83,1.3663091834096197
700,5.21551099118311,0.89,1.3644801157705544
800,4.743697627093643,0.9,1.3591073408500043
900,4.812007467946969,0.82,1.3581040372170807
1000,4.792458285526372,0.85,1.3588519082126451
1100,4.880957435676828,0.78,1.3633298136493617
1200,4.767723717344925,0.89,1.359089298489938
1300,4.745743468254805,0.89,1.3584381780687194
1400,4.674974651534576,0.85,1.3573936836501483
1500,4.639260844700038,0.85,1.3603733037603887
1600,4.416154552411753,0.82,1.358911234875442
1700,4.362045242669992,0.88,1.359137326153435
1800,4.381173911078367,0.84,1.3591581249644118
1900,4.556418314634357,0.86,1.3599484014105283
2000,4.496023669699207,0.83,1.3607797221429596
